,0
38,我已经忘记了不戴口罩坐地铁，逛街，散步的感觉了
39,临近放假，我好害怕过年回不了家
40,每年年底要过年了都会反弹，麻了真的麻了。
41,中国地图只显示一半应该是违反了相关规定的吧…
42,为什么东莞4例确诊了，还没有升级为中风险
43,人多莫去凑热闹，出门记得戴口罩
44,四川重庆千万别。。
45,江苏没有中高风险。从江苏回辽宁。和社区汇报之后健康码给我调黄了这是层层加码嘛。
46,今年疫情控制的不太好、不如去年，好麻烦
47,我已经忘记了不戴口罩坐地铁，逛街，散步的感觉了
48,[跪了][跪了]临近放假，我好害怕过年回不了家
49,每年年底要过年了都会反弹，麻了 真的麻了。
50,中国地图只显示一半应该是违反了相关规定的吧…
51,为什么东莞4例确诊了，还没有升级为中风险
52,人多莫去凑热闹，出门记得戴口罩
53,绍兴可以，上虞加油，快快清零
54,四川重庆千万别。。
55,江苏没有中高风险。从江苏回辽宁。和社区汇报之后健康码给我调黄了[微笑]这是层层加码嘛。
56,今年疫情控制的不太好、不如去年，好麻烦[苦涩]
57,呼伦贝尔市别的旗县的考研学生该怎么办？没有食宿，交通的情况下怎么考试呢？
58,个人觉得有点严重，真不明白为啥不推迟考试，尤其还需要跨省的考试
59,为什么广东广州白云区某酒店是境外关联就属中风险，而广东东莞有2例是省外本土反倒不属风险区呢？
60,防控疫情，都需要大家的支持
61,上海快快摘星[苦涩]
62,转发微博
63,大家都要做好防护 注意安全 疫情赶紧结束🙏🙏🙏
64,春节马上要到了 这个病毒就开始活跃了 只能自己做好预防工作
65,社会是一个共同体，就国内来说，需要所有人一起努力面对疫情。你能生活在安全的环境中是因为背后不知道有多少人在默默付出。所以说都大度点，不要为了能不能回家过年骂骂咧咧，我是一名海员，已经连续三年不在家过年了，我也从来没有说过什么，而且即将连续第四年不在家过年，我也想回家，但没办法！
66,有症状，早就医，不恐慌，不传谣
67,注意防疫，⚠️莫出去乱跑
68,孩子快放假了，疫情快点结束呀！
69,希望早日结束[允悲]我怕放假回不了家了
70,疫情常态化，做好个人防护，非必要不出省市，就地过年。
71,都快要过年了，疫情快好起来吧[泪]
72,浙江陪跑到最后成了毒圈[泪][泪][泪][泪]
73,考研会延迟吗？
74,抗疫灵丹妙药：戴❗     口❗     罩❗
75,新疆伊犁察布查尔县还没有完全解封呢  一封就是七十多天 没人管  领导不作为 只会一刀切
76,转发微博
77,拜托 平安🙏🏻
78,好想回家过年
79,做好防护 一起加油[加油]
80,[加油]
81,疫情快点结束🙏
82,疫情快点结束吧[泪][泪]
83,[感冒][感冒]
84,每个人管好自己就是最好的
85,🙏🙏
86,疫情这么严重  考研一定不要推迟啊
87,上虞加油！绍兴加油！！中国加油！！！
88,我笑了[二哈][二哈][二哈]东莞呢
89,希望能过个好年🙏
90,西安回宝鸡那边坐火车需要合算吗？回去要隔离吗？
91,我蒙了，杭州这么多地方就一个中风险？？
92,天津和广州一例奥密被吃了？奥密不比德尔塔厉害？
93,注意防护！
94,大家都做好防护
95,做好防护措施
96,注意防护
97,我们这代人看不到了应该
98,东莞好硬[求饶][求饶][求饶]
99,大家都被压抑太久了，希望多一些开心的事情吧。
100,希望疫情早点结束[可怜]
101,疫情快散去
102,希望疫情早日结束
103,数据假的
104,[悲伤][悲伤]
105,怎么这么多了🙉
106,希望疫情早点结束 大家都能顺利回家过年🙏🙏 希望跨年我能见到男朋友🙏
107,@hessoul
108,少出行[嘻嘻]
109,希望疫情赶紧过去
110,[单身狗]快过年了
111,注意疫情防控
112,【#全国有12个高风险67个中风险地区#】近期，我国局部地区发生了由境外输入引起的本土小范围疫情。目前，全球有77个国家和地区出现奥密克戎毒株，天津广东也从入境人员中检出该变异株。#全国中高风险地区最新汇总#↓一图了解当前疫情防控信息！ ​​​
113,转发微博
114,心疼黑龙江人民[允悲][允悲]
115,现在中高风险不是都划分的很细致了吗 为什么 只要是跟中风险小区一个区的人 48小时两次核酸报告还是要被居家贴封条隔离呢…希望疫情快点结束吧… [泪]真心
116,很荣幸 上榜了
117,烦死了
118,[悲伤][悲伤][悲伤]
119,加油加油
120,🙏🙏🙏
121,祖国加油
122,愿疫情早日离去[感冒][感冒]
123,所以有的演唱会还要硬开是吧
124,#全国有12个高风险67个中风险地区# [话筒]
125,希望变好[给你小心心]
126,唉什么时候才能结束啊[泪][泪][泪]
127,我已经好久看不见马路上行走的美女帅哥了，都戴着口罩[汗]
128,转发微博
129,没疫情的地区已经开始下通告就地过年了，要不就14天隔离[doge]
130,早日结束吧！求求了……
131,年底了，都要注意防范
132,密切关注全国高中风险区有哪些？客观认识疫情，科学应对疫情，依法防控疫情。
133,注意防护
134,快点控制住🙏
135,转发
136,思想上一定要重视
137,转发微博
138,【#全国有12个高风险67个中风险地区#】近期，我国局部地区发生了由境外输入引起的本土小范围疫情。目前，全球有77个国家和地区出现奥密克戎毒株，天津广东也从入境人员中检出该变异株。#全国中高风险地区最新汇总#↓一图了解当前疫情防控信息！ ​​​
139,唉……
140,[微笑][微笑][微笑]
141,真的期待疫情早点过去，愿山河无恙！
142,大家都要做好防护 注意安全 疫情赶紧结束🙏🙏🙏
143,[失望]早日恢复
144,[微笑][微笑][微笑]
145,加油
146,做好防护
147,注意安全
148,隔离是我们2020年战胜疫情的成功经验，大家还是在家好好过日子才最安全，加油中国，加油大家[加油]
149,加油
150,希望疫情赶快过去 [心]
151,转发微博
152,尽量减少出行，做好防疫！
153,安徽也有了
154,防疫从自我做起！
155,广州几号能摘星啊[泪]
156,转发微博
157,没有东莞👏
158,......感觉这个年要乖乖待在家中了
159,早日恢复
160,注意保护好自己
161,做好防护，配合防疫，世界疫情快点结束吧🙏🙏
162,疫情赶快好起来吧🙏
163,疫情还没结束人人都不能松懈[给你小心心]
164,啥时候疫情能彻底结束啊？
165,医护人员辛苦了！个人也要做好防护措施，戴好口罩，尽量少出门
166,赶紧结束吧，过个好年[抓狂]
167,做好自我防护，从容应对
168,注意防疫
169,注意安全
170,不添乱🙏🙏🙏
171,🙏大家做好防护吧，啥时候能彻底结束啊，泪了
172,🙏🏻早日好起来
173,快过年了
174,快好起来吧 过年真的想回家[泪]
175,做好防护，配合防疫[开学季]
176,大家都要注意安全！
177,🙏
178,🙏
179,为什么没东莞[黑线]
180,转发微博
181,[加油]
182,防控不松懈！！！[感冒]
183,疫情终将散去！
184,把境外某些地区隔离。。。让我们过个好年成吗？[微笑]
185,@卖糖糖的小璇璇
186,这什么时候能恢复正常啊
187,🙏
188,戴好口罩 早日清零
189,戴口罩
190,转发微博
191,早日清零，大家平平安安健健康康
192,别新增[泪][泪][泪]
193,还要再奋斗1.5个月 完成申请季
194,🙏🙏🙏
195,愿平平安安的
196,萧山还不降低风险
197,[泪][泪]
198,高风险的隔壁城市，已经开始不用上班了。
199,福建瑟瑟发抖，顶住！[单身狗]
200,@MDZTm 你那边高还是中啊
201,@Choi這個人
202,可参考。这个病传染起来还是很厉害，看来要想清零，必须堵住国外输入的口才行。
203,这些数字其实不可怕，关键是这些数字是动态的
204,现在只有在家才不戴口罩了
205,快点好起来吧
206,早日康复
207,希望可以回家过年。
208,妖魔鬼怪快离开[奥特曼]
209,疫情防控不可放松
210,可怕
211,我只想问一下过年低风险地区到低风险地区能不能回家
212,@呵Sever
213,大家都要做好防护 注意安全 疫情赶紧结束🙏🙏🙏
214,@西西弗斯永不静止的大石头
215,高风险地区的人能去北京吗？
216,明天加多一个，安徽
217,新闻是疫情 你跟人扯地图问题，大家都不了解相关制度 你要觉得有问题 就去投诉啊 在评论里跟大家扯什么劲 刚开始我还觉得你说的有道理  后面就在那扯。拜托熟读《情商》 吧
218,#全国有12个高风险67个中风险地区##全国中高风险地区最新汇总#↓一图了解当前疫情防控信息！ ​​​
219,孩子想回家🙏
220,这绍兴的突然弯道超车，把宁波给吓住了
221,杭州上城区拱墅区怎么没有中风险
222,[悲伤]
223,我的快递经过浙江[裂开]
224,我和天…呼伦贝尔居然那么远…来自呼和浩特的感叹…希望疫情快快结束吧，我好想出去玩呀[失望][失望][失望]
225,疫情赶紧过去吧555
226,陕西加油[心]
227,难道我们要一辈子活在这破疫情里了吗[泪]
228,南无阿弥陀佛
229,我想出去旅游吧[泪]
230,请中央控制好境外人员和物资，延长隔离期，如果不是总有境外输入和冷链，应该不会这么多次反复的
231,可年的人啊病毒消亡吧🙏🙏
232,@改名充的会员
233,棚户区改造后的小区，停车场能被村委会占用吗？不允许军民停车
234,西安加油！祖国加油！[心]
235,考研不会推迟吧[泪]
236,转发微博
237,哈尔滨这么多，不知道领导干部是怎么解决问题的
238,这该死的病毒啥时候才能被消灭干净呀！
239,不禁外国输入，国内何安？
240,@撸啦啦mua
241,嘉兴挺住
242,每天这样报道，永远处于危机，不利于社会正常化，不利于经济
243,为什么不能限制入境呢？实在不理解
244,年关将近  遍地开花[泪][泪][泪]
245,想回归正常生活[跪了][拜拜]
246,到底什么时候疫情才能彻底结束啊
247,平平安安健健康康🙏🙏🙏
248,什么时候可以不用戴口罩😷
249,一定要做好防护呀～戴口罩，勤洗手，多通风～
250,转发微博
251,@找呀找呀找happy
252,哈尔滨也好几波了，都从哪来的[疑问]
253,绍兴是被承包了吗[允悲]
254,我要过年，我要回家[泪]。不回家是不完整的一年[泪][泪][泪][泪][泪][泪]
255,救命啊🆘 快放我们回家吧我不想在医院过年
256,不容乐观
257,啥时是个头？！
258,哈尔滨 我求求你了 我元旦要回家
259,有些引发人口聚集的该停的就停一下吧🙈
260,安徽那个中风险还没算上
261,中国加油加油加油🙏🏻🙏🏻🙏🏻广东加油加油加油🙏🏻🙏🏻🙏🏻
262,球球了  赶快好起来吧 孩子异地恋太难了[悲伤]
263,一直有境外输入，没完没了[泪]
264,绍兴越城回去被强制隔离了[泪]
265,延长境外回来的隔离时间吧 快过年了 想家呀
266,统计错了？
267,一起防护
268,哈尔滨已经有很多降低风险了 人民日报严谨点吧
269,我要回家我要旅游[泪][泪][泪]
270,想回家过年
271,哇，牛逼啊真毒
272,天呐，这疫情快点结束吧，还我灯火通明祥和太平的大中国！
273,希望研究生也能正常时间放假，别推迟到小年了，一年没回家，太害怕疫情影响回家过年。
274,麻了  上虞一个小地方五个高风险[泪][泪]
275,我在外面旅游，好慌[悲伤]
276,西安挺住！
277,大上虞挺住[泪][泪][泪]加油[心][心]
278,家是高风险区，寒假放假可以回家吗[泪]
279,绍兴加油啊 希望他在上虞平平安安的 千万千万不要被感染
280,马上2月5日北京冬奥会，那么多外国运动员要来中国。北方很高危。
281,上虞这么多啊[苦涩]
282,这个症状很轻，比流感s的人还少，用得着这么恐慌和兴师动众
283,如果非必要还是好好待着吧
284,诶…还是很多啊
285,[笑cry]
286,杭州仿佛在搞笑
287,为什么东北总是有疫情[允悲][允悲]
288,勤洗手，多通风，出门前，戴口罩，非必要，不远游，远离人堆，保平安！[喵喵][喵喵][喵喵]
289,……
290,牛逼
291,信息不准确，哈尔滨中风险没有这么多了，有些已经是低风险了
292,只能说管管入境的吧  国内的人容易吗
293,为什么我的手机推送给我南岗有几个地区已经变成低风险了
294,小编，中国地图没有放全！！海南岛也没有
295,咱就是没想到有朝一日自己小区成为风险区[微笑]
296,小编，中国地图没有放全！！海南岛也没有
297,哎，什么时候才能结束
298,快要过年免疫低下，戴好口罩，拒绝一切侥幸心理！辛苦防疫战士，大家都要平平安安克服疫情难关！
299,注意防护
300,@限定可愛小桃叽
301,这是咋地了[允悲][疑问][疑问][疑问]
302,拜托了保佑疫情早点过去家人健康平安🙏
303,天呐，[失望]医护人员辛苦了！！保护好自己，希望疫情早日过去大家能安心过年🙏🙏🙏
304,[加油][加油]
305,坚决彻底的控制住：《奥密克戎》毒株，在我国传播。不论是外国人，外国留学生回国，或是在外国做生意的老总回国，都必须隔离捡查，这一关卡千万不能放松，否则：后患无穷
306,星星要保留一段时间了[汗]
307,一波清零一波又起🙏🙏
308,元旦避雷攻略
309,西安挺住
310,外防输入能不能给点力[汗]
311,要放假了 天津贵阳稳住啊[悲伤]
312,挺严重啊
313,【#全国有12个高风险67个中风险地区#】近期，我国局部地区发生了由境外输入引起的本土小范围疫情。目前，全球有77个国家和地区出现奥密克戎毒株，天津广东也从入境人员中检出该变异株。#全国中高风险地区最新汇总#↓一图了解当前疫情防控信息！ ​​​
314,上次德尔塔是从境外传入的，先是境外输入病例出现，然后就变成了本地病例，这次这个新毒株别又传入国内了。上次德尔塔是有些境外人员在隔离了21天回去后的一两周内又复阳了传入国内的，所以这次隔离21天感觉不太够啊，起码也得两个月才行吧。
315,做好防护不松懈
316,快过年了，大家加油[苦涩]
317,#农发行河南分行通报女子举报前婆婆#  低情商:不上班吃空饷 高情商:经常旷工迟到早退 低情商:解释不清巨额财产 高情商:暂未发现受贿行为， 中国汉字文化，真的博大精深。
318,别哈尔滨了，求求了[苦涩]
319,现在什么情况
320,注意防护！
321,加油
322,加强防范从我做起。
323,[伤心]
324,防疫任重而道远啊
325,更新下吧，黑龙江有几个已经变回低风险了
326,广东的崽崽好难，圣诞想回家[抓狂][抓狂][抓狂][抓狂] 跨年想回家[抓狂][抓狂][抓狂][抓狂][抓狂][抓狂] 辅导员：麻烦的是你们不是我[抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂]
327,希望疫情早日结束，大家都能去想去的地方！
328,大家保护好自己
329,一起加油
330,唉，啥时候是头啊
331,一定要控制住啊
332,【#全国有12个高风险67个中风险地区#】
333,哈尔滨可以降低风险吗[苦涩]好几天没新增了
334,都快好吧，过个好年
335,转发微博
336,[允悲][允悲]太难了
337,转发微博
338,😭 😭 😭 😭 😭
339,害怕过年回不了家
340,注意安全
341,希望及时控制住，能过个平安年🙏
342,[拳头][拳头]
343,不敢动了
344,希望疫情快点结束吧！
345,人对疫情莫名的恐惧什么时候结束，疫情就什么时候结束
346,唉
347,广东的疫情就没断过，没完没了心塞
348,维护中国法律之尊严，捍卫中国社会之正义。请B站和微博作为大众媒体平台，尊重我中国之法治建设，公开向被禁言的范洪所道歉并取消直播间禁制。我是中国人，我是中国青年！
349,疫情防控人人有责，出门佩戴口罩，保持社交距离，做好防护，不扎堆不聚集，战疫不松。
350,愿安，加油！🙏🙏🙏[加油][加油][加油]
351,愿平安[抱抱]
352,咋不提倡打疫苗了呢
353,放假也不能回家过年，也不能到处旅游[泪]
354,，
355,笑死了，萧山7天没新增还是中风险，上城拱墅每天增加，还是低风险呢[喵喵][喵喵][喵喵]🐮 啊
356,吓得我不敢网购了
357,愿早日平安
358,宁波是高风险区了[裂开][裂开][裂开]
359,形式主义的民主
360,确实是民主公开，落后国家根本就没有统计
361,确实民主，人家人民还游戏反对封锁打疫苗呢
362,连精选评论都不会，还敢称民主国家？
363,形式主义的民主
364,参加峰会的国家死于新冠占总数的82%，你确定不是因为全球大部分国家和地区都参加了？
365,确实是民主公开，落后国家根本就没有统计
366,确实民主，人家人民还游戏反对封锁打疫苗呢
367,[doge][doge]富人，精英人，财团的民主
368,民主的死亡，死亡的民主。
369,不要隐瞒不怪你们，大不了我就地过年
370,
371,
372,赶紧别让聚集开会年底了
373,哪都不去最好
374,00以来……这个？？到底是这个时间段，还是这个时间以后
375,不要隐瞒 不怪你们，大不了我就地过年[允悲]
376,[話筒][話筒][話筒]
377,[doge][doge][doge]
378,赶紧别让聚集开会年底了
379,哪都不去最好[笑cry]
380,11🈷️4日的现在还要隔离[挖鼻]
381,路过也要隔离么？
382,陕西西安那个看不懂，什么叫15：00至24：00以来……这个？？到底是这个时间段，还是这个时间以后
383,我已经忘记了不戴口罩坐地铁，逛街，散步的感觉了
384,临近放假，我好害怕过年回不了家
385,每年年底要过年了都会反弹，麻了真的麻了。
386,中国地图只显示一半应该是违反了相关规定的吧…
387,为什么东莞4例确诊了，还没有升级为中风险
388,人多莫去凑热闹，出门记得戴口罩
389,四川重庆千万别。。
390,江苏没有中高风险。从江苏回辽宁。和社区汇报之后健康码给我调黄了这是层层加码嘛。
391,今年疫情控制的不太好、不如去年，好麻烦
392,我已经忘记了不戴口罩坐地铁，逛街，散步的感觉了
393,[跪了][跪了]临近放假，我好害怕过年回不了家
394,每年年底要过年了都会反弹，麻了 真的麻了。
395,中国地图只显示一半应该是违反了相关规定的吧…
396,为什么东莞4例确诊了，还没有升级为中风险
397,人多莫去凑热闹，出门记得戴口罩
398,绍兴可以，上虞加油，快快清零
399,四川重庆千万别。。
400,江苏没有中高风险。从江苏回辽宁。和社区汇报之后健康码给我调黄了[微笑]这是层层加码嘛。
401,今年疫情控制的不太好、不如去年，好麻烦[苦涩]
402,呼伦贝尔市别的旗县的考研学生该怎么办？没有食宿，交通的情况下怎么考试呢？
403,个人觉得有点严重，真不明白为啥不推迟考试，尤其还需要跨省的考试
404,为什么广东广州白云区某酒店是境外关联就属中风险，而广东东莞有2例是省外本土反倒不属风险区呢？
405,防控疫情，都需要大家的支持
406,上海快快摘星[苦涩]
407,转发微博
408,大家都要做好防护 注意安全 疫情赶紧结束🙏🙏🙏
409,春节马上要到了 这个病毒就开始活跃了 只能自己做好预防工作
410,社会是一个共同体，就国内来说，需要所有人一起努力面对疫情。你能生活在安全的环境中是因为背后不知道有多少人在默默付出。所以说都大度点，不要为了能不能回家过年骂骂咧咧，我是一名海员，已经连续三年不在家过年了，我也从来没有说过什么，而且即将连续第四年不在家过年，我也想回家，但没办法！
411,有症状，早就医，不恐慌，不传谣
412,注意防疫，⚠️莫出去乱跑
413,孩子快放假了，疫情快点结束呀！
414,希望早日结束[允悲]我怕放假回不了家了
415,疫情常态化，做好个人防护，非必要不出省市，就地过年。
416,都快要过年了，疫情快好起来吧[泪]
417,浙江陪跑到最后成了毒圈[泪][泪][泪][泪]
418,考研会延迟吗？
419,抗疫灵丹妙药：戴❗     口❗     罩❗
420,新疆伊犁察布查尔县还没有完全解封呢  一封就是七十多天 没人管  领导不作为 只会一刀切
421,转发微博
422,拜托 平安🙏🏻
423,好想回家过年
424,做好防护 一起加油[加油]
425,[加油]
426,疫情快点结束🙏
427,疫情快点结束吧[泪][泪]
428,[感冒][感冒]
429,每个人管好自己就是最好的
430,🙏🙏
431,疫情这么严重  考研一定不要推迟啊
432,上虞加油！绍兴加油！！中国加油！！！
433,我笑了[二哈][二哈][二哈]东莞呢
434,希望能过个好年🙏
435,西安回宝鸡那边坐火车需要合算吗？回去要隔离吗？
436,我蒙了，杭州这么多地方就一个中风险？？
437,天津和广州一例奥密被吃了？奥密不比德尔塔厉害？
438,注意防护！
439,大家都做好防护
440,做好防护措施
441,注意防护
442,我们这代人看不到了应该
443,东莞好硬[求饶][求饶][求饶]
444,大家都被压抑太久了，希望多一些开心的事情吧。
445,希望疫情早点结束[可怜]
446,疫情快散去
447,希望疫情早日结束
448,数据假的
449,[悲伤][悲伤]
450,怎么这么多了🙉
451,希望疫情早点结束 大家都能顺利回家过年🙏🙏 希望跨年我能见到男朋友🙏
452,@hessoul
453,少出行[嘻嘻]
454,希望疫情赶紧过去
455,[单身狗]快过年了
456,注意疫情防控
457,【#全国有12个高风险67个中风险地区#】近期，我国局部地区发生了由境外输入引起的本土小范围疫情。目前，全球有77个国家和地区出现奥密克戎毒株，天津广东也从入境人员中检出该变异株。#全国中高风险地区最新汇总#↓一图了解当前疫情防控信息！ ​​​
458,转发微博
459,心疼黑龙江人民[允悲][允悲]
460,现在中高风险不是都划分的很细致了吗 为什么 只要是跟中风险小区一个区的人 48小时两次核酸报告还是要被居家贴封条隔离呢…希望疫情快点结束吧… [泪]真心
461,很荣幸 上榜了
462,烦死了
463,[悲伤][悲伤][悲伤]
464,加油加油
465,🙏🙏🙏
466,祖国加油
467,愿疫情早日离去[感冒][感冒]
468,所以有的演唱会还要硬开是吧
469,#全国有12个高风险67个中风险地区# [话筒]
470,希望变好[给你小心心]
471,唉什么时候才能结束啊[泪][泪][泪]
472,我已经好久看不见马路上行走的美女帅哥了，都戴着口罩[汗]
473,转发微博
474,没疫情的地区已经开始下通告就地过年了，要不就14天隔离[doge]
475,早日结束吧！求求了……
476,年底了，都要注意防范
477,密切关注全国高中风险区有哪些？客观认识疫情，科学应对疫情，依法防控疫情。
478,注意防护
479,快点控制住🙏
480,转发
481,思想上一定要重视
482,转发微博
483,【#全国有12个高风险67个中风险地区#】近期，我国局部地区发生了由境外输入引起的本土小范围疫情。目前，全球有77个国家和地区出现奥密克戎毒株，天津广东也从入境人员中检出该变异株。#全国中高风险地区最新汇总#↓一图了解当前疫情防控信息！ ​​​
484,唉……
485,[微笑][微笑][微笑]
486,真的期待疫情早点过去，愿山河无恙！
487,大家都要做好防护 注意安全 疫情赶紧结束🙏🙏🙏
488,[失望]早日恢复
489,[微笑][微笑][微笑]
490,加油
491,做好防护
492,注意安全
493,隔离是我们2020年战胜疫情的成功经验，大家还是在家好好过日子才最安全，加油中国，加油大家[加油]
494,加油
495,希望疫情赶快过去 [心]
496,转发微博
497,尽量减少出行，做好防疫！
498,安徽也有了
499,防疫从自我做起！
500,广州几号能摘星啊[泪]
501,转发微博
502,没有东莞👏
503,......感觉这个年要乖乖待在家中了
504,早日恢复
505,注意保护好自己
506,做好防护，配合防疫，世界疫情快点结束吧🙏🙏
507,疫情赶快好起来吧🙏
508,疫情还没结束人人都不能松懈[给你小心心]
509,啥时候疫情能彻底结束啊？
510,医护人员辛苦了！个人也要做好防护措施，戴好口罩，尽量少出门
511,赶紧结束吧，过个好年[抓狂]
512,做好自我防护，从容应对
513,注意防疫
514,注意安全
515,不添乱🙏🙏🙏
516,🙏大家做好防护吧，啥时候能彻底结束啊，泪了
517,🙏🏻早日好起来
518,快过年了
519,快好起来吧 过年真的想回家[泪]
520,做好防护，配合防疫[开学季]
521,大家都要注意安全！
522,🙏
523,🙏
524,为什么没东莞[黑线]
525,转发微博
526,[加油]
527,防控不松懈！！！[感冒]
528,疫情终将散去！
529,把境外某些地区隔离。。。让我们过个好年成吗？[微笑]
530,@卖糖糖的小璇璇
531,这什么时候能恢复正常啊
532,🙏
533,戴好口罩 早日清零
534,戴口罩
535,转发微博
536,早日清零，大家平平安安健健康康
537,别新增[泪][泪][泪]
538,还要再奋斗1.5个月 完成申请季
539,🙏🙏🙏
540,愿平平安安的
541,萧山还不降低风险
542,[泪][泪]
543,高风险的隔壁城市，已经开始不用上班了。
544,福建瑟瑟发抖，顶住！[单身狗]
545,@MDZTm 你那边高还是中啊
546,@Choi這個人
547,可参考。这个病传染起来还是很厉害，看来要想清零，必须堵住国外输入的口才行。
548,这些数字其实不可怕，关键是这些数字是动态的
549,现在只有在家才不戴口罩了
550,快点好起来吧
551,早日康复
552,考艺校是全省第一，做网红是千万粉丝的网红，来当爱豆就c位出道，好传奇好精彩的小流域
553,不管在什么地方，什么领域都要做到最好的这种目标，和一定能实现这种目标的执行力，太迷人了
554,好喜欢这个，在学校一定很受爱戴。有目标并且坚定不移的贯彻，太有魅力了。就爱事业批
555,这真是小兄弟阳光
556,少年的模样
557,好喜欢，好喜欢这个
558,真是青春洋溢啊，小流域
559,呜呜呜我的宝宝，他当时真的看着好开心
560,青春洋溢！是我的乖儿子
561,考艺校是全省第一，做网红是千万粉丝的网红，来当爱豆就c位出道，好传奇好精彩的小流域
562,不管在什么地方，什么领域都要做到最好的这种目标，和一定能实现这种目标的执行力，太迷人了[悲伤]
563,好喜欢这个，在学校一定很受爱戴。有目标并且坚定不移的贯彻，太有魅力了。就爱事业批[爱你][爱你][爱你]
564,所有小向日葵听它号令，起舞吧[春游家族]好可爱好可爱
565,这真是小兄弟[笑cry]阳光
566,少年的模样
567,好喜欢，好喜欢这个
568,真是青春洋溢啊，小流域[抱抱]
569,呜呜呜我的宝宝，他当时真的看着好开心[失望]
570,青春洋溢！是我的乖儿子[赞]
571,有时候甚至怀疑是不是我宝长的太好看了，才会招来那么多造谣甚至雌竞，是不是长的稍微普通一点别人就都会发现他到底有多厉害，他就不用承受那么多了[苦涩]
572,这个视频真的好喜欢  看了三百遍
573,最后那声笑还说了一句好，感觉好熟悉，成长了但还是最初活力满满的你[抱一抱]
574,好青春洋溢呀！今天有点emo的心情被治愈了。想起宇宇那句“想做金字塔尖尖的那个人”[加油][加油]
575,好喜欢向阳生长的小向日葵[悲伤][悲伤][悲伤]阳光温暖。
576,好青春好元气
577,而且这个视频还是他导演策划的[求关注]
578,妈粉事业粉一本满足并非常自豪了就是说
579,他一直那么努力那么优秀！
580,我特别喜欢这个视频 看了好多好多遍
581,好青春，好阳光[小红花]
582,[笑cry]其实刚粉上他那会就一直在b站重复看这个视频，很阳光很喜欢，所以在后面看别人怎样为了抹黑他然后抹黑这个学校，我都不知道怎么说，因为那个视频让我觉得那是他为之骄傲的母校，同时他的母校也为他自豪。。怎么讲，有些东西沾过💩就变味了[笑cry][笑cry]
583,能为学校拍宣传片，而且还是艺术专业的，实力自然是差不到哪里去[春游家族]
584,依稀记得好像有安艺的同学说他很好，毕业了老师叫他帮学校拍东西他也会欣然答应
585,青春活力的刘宇呀[羞嗒嗒]
586,好可爱的小孩，元气满满
587,青春洋溢的我宝，在他身边的人也一定会感到能量满满吧[抱一抱]
588,好阳光好健康好积极好正能量[哈哈]
589,做什么都好优秀的小刘宇
590,他这个时候真的很开心像个孩子
591,我们小宇是学生中最优秀的那一个。
592,好喜欢这个视频啊
593,优秀的儿子💪
594,不管在哪里做什么，都是最好最顶的//@每晚疼爱守约:考艺校是全省第一，做网红是千万粉丝的网红，来当爱豆就c位出道，好传奇好精彩的小流域
595,我也超喜欢这个视频
596,优秀的别人家孩子[允悲]
597,刘宇这个视频一度是我的朋友圈状态
598,第一次在dy看到小宇这个视频的时候觉得他人缘好好怎么叫的动这么多人跟他一起拍视频哈哈[笑cry]本社恐人士惊呆了[允悲]
